name,capacity_mw,primary_fuel,commissioning_year,State,Plant Name,Generation (kWh),Fuel Consumption for Electric Generation (MMBtu),Metric Tonnes of CO2 Emissions,emissions_per_KWh
albemarle prime power park,3.6,Oil,2006,NC,Albemarle Prime Power Park,168000,2362,172.8054877,0.001028604
albertville,4,Oil,2000,,,,,,
alden bailey power plant,10.9,Gas,2002,,,,,,
alexandria,9.2,Oil,1964.521739,MN,Alexandria,66000,553,40.45784703,0.000612998
algodones,45,Gas,1955.666667,,,,,,
algona,16.1,Oil,1982.322981,IA,Algona,429000,4452,324.9478479,0.000757454
algonquin power sanger llc,61.5,Gas,2008.813008,CA,Algonquin Power Sanger LLC,74663000,554771,29441.96406,0.000394331
algonquin windsor locks,71,Gas,1994.647887,CT,Algonquin Windsor Locks,124109560,704130,73788.42871,0.000594543
allegany cogen,67,Gas,1994,NY,Allegany Cogen,17817000,150747,8000.215867,0.000449021
allegheny energy units 3 4  5,556,Gas,2003,PA,Allegheny Energy Units 3 4 & 5,4340792000,30811075,1635158.584,0.000376696
allen,1610.8,Coal,1963.772784,TN,Allen,5842650000,37033623,1965592.14,0.000336421
allen s king,598.4,Coal,1958,MN,Allen S King,1739179000,17856660,1730279.451,0.000994883
allendale biomass,22.5,Waste,2013,,,,,,
allenwood,3.2,Waste,2012,,,,,,
alliance refinery,25,Gas,1985.68,LA,Alliance Refinery,4593517,71517,3795.441622,0.00082626
alliant energy neenah,371,Gas,2000,WI,Alliant Energy Neenah,299592000,3302868,175284.7949,0.000585078
alliant sbd 8501 aegon li,3.1,Oil,1985.709677,,,,,,
alliant sbd 8601 quad graphics,3.6,Oil,1990.444444,,,,,,
alliant sbd 8602 marion sub,5.6,Oil,1986,IA,Alliant SBD 8602 Marion Sub,27440,421,30.80063942,0.001122472
alliant sbd 9106 rockwell cr,16,Oil,1992,IA,Alliant SBD 9106 Rockwell CR,223440,3415,249.8436665,0.001118169
alliant sbd 9107 jbs usa,11.4,Oil,1994.947368,IA,Alliant SBD 9107 JBS USA,15680,235,17.19275597,0.001096477
alliant sbd 9201 norplex,2.1,Oil,2000.904762,IA,Alliant SBD 9201 Norplex,102900,1606,117.4960259,0.001141847
alliant sbd 9203 profol,5.6,Oil,2003.321429,IA,Alliant SBD 9203 Profol,192080,2151,157.3685876,0.000819287
alliant sbd 9205 a y mcdonald,3.6,Oil,1994.861111,IA,Alliant SBD 9205 A Y McDonald,11760,180,13.16891947,0.001119806
alliant sbd 9206 donaldson,1.6,Oil,1995,IA,Alliant SBD 9206 Donaldson,4900,76,5.560210441,0.001134737
alliant sbd 9301 prairie farms,2.9,Oil,1994.896552,,,,,,
alliant sbd 9302 aegon np,1.2,Oil,1995,IA,Alliant SBD 9302 Aegon NP,2940,41,2.999587212,0.001020268
alliant sbd 9403 aegon dc,4.1,Oil,2002.682927,IA,Alliant SBD 9403 Aegon DC,12740,204,14.9247754,0.001171489
alliant sbd 9502 eaton,5.4,Oil,1997.333333,IA,Alliant SBD 9502 Eaton,147980,2278,166.6599919,0.001126233
alliant sbd 9901 wells fargo,1.1,Oil,2001,IA,Alliant SBD 9901 Wells Fargo,1960,29,2.121659247,0.001082479
alliant sbd0201 ingredion,6.1,Oil,2003,IA,Alliant SBD0201 Ingredion,28420,433,31.67856738,0.001114658
alliant sbg 9802 toyota,1,Gas,1999,IA,Alliant SBG 9802 Toyota,12740,123,6.527669218,0.000512376
almond power plant,223.5,Gas,2008.456376,CA,Almond Power Plant,282001000,3058518,162317.0228,0.00057559
alpaca,21,Gas,2017,PA,Alpaca,45095000,408421,21675.0991,0.000480654
alpha ridge lfg,1,Waste,2012,,,,,,
alpine power plant,453.8,Gas,2016,MI,Alpine Power Plant,311965000,3491904,185317.0264,0.000594031
alsey,173,Gas,2003.99422,IL,Alsey,15027000,177419,9416.756437,0.000626656
alta municipal utilities,1,Oil,1947,IA,Alta Municipal Utilities,119000,1161,84.93953056,0.000713778
altagas pomona energy inc,66,Gas,1995.393939,,,,,,
altagas ripon energy inc,49.5,Gas,1988,CA,AltaGas Ripon Energy Inc.,5377000,55784,2960.483737,0.000550583
altamont,7.2,Oil,2003,IL,Altamont,71000,754,55.16314043,0.000776946
altamont gas recovery,8.6,Waste,1985.953488,,,,,,
altavista power station,71.1,Waste,1992,VA,Altavista Power Station,1387065,21112,1120.424004,0.000807766
amalgamated sugar llc nampa,8.7,Gas,1961.908046,ID,Amalgamated Sugar LLC Nampa,37075340,173885,179088.9932,0.004830407
amalgamated sugar twin falls,10.2,Coal,1976.352941,ID,Amalgamated Sugar Twin Falls,52238403,257785,224652.5719,0.004300525
amana society service company,21.6,Oil,2001,IA,Amana Society Service Company,2668000,26160,1913.882962,0.000717347
amazon san bernardino,1.1,Gas,2014,CA,Amazon San Bernardino,6823000,55981,2970.938622,0.00043543
ambler,1.1,Oil,1994.090909,AK,Ambler,1176000,12851,940.1876892,0.000799479
amelia,14.4,Waste,2001,VA,Amelia,2153135,25503,1865.816406,0.000866558
ameresco butte county,2.3,Waste,2013,,,,,,
ameresco chicopee energy,7.8,Waste,2005.615385,,,,,,
ameresco chiquita canyon,9.2,Waste,2010,,,,,,
ameresco dallas llc,4.2,Waste,2011,,,,,,
ameresco delaware central,5,Waste,2009.8,,,,,,
ameresco delaware south,5,Waste,2007.6,,,,,,
ameresco forward,4.4,Waste,2014,,,,,,
ameresco janesville,3,Waste,2004,,,,,,
ameresco jefferson city,3,Waste,2009,,,,,,
ameresco johnson canyon,1.4,Waste,2013,,,,,,
ameresco keller canyon,3.8,Waste,2009,,,,,,
ameresco ox mountain,11.4,Waste,2009,,,,,,
ameresco san joaquin,4.4,Waste,2014,,,,,,
ameresco santa cruz energy,3,Waste,2006,,,,,,
ameresco stafford,2.2,Waste,2009,,,,,,
ameresco vasco road,4.4,Waste,2014,,,,,,
american crystal sugar crookston,6.5,Coal,1963.692308,MN,American Crystal Sugar Crookston,0,249143,177116.2392,inf
american crystal sugar drayton,6,Coal,1965,ND,American Crystal Sugar Drayton,0,207308,191857.5305,inf
american crystal sugar east grand forks,7.5,Coal,1990,MN,American Crystal Sugar East Grand Forks,0,242004,400194.9845,inf
american crystal sugar hillsboro,13.3,Coal,1990,ND,American Crystal Sugar Hillsboro,0,496042,289493.5806,inf
american crystal sugar moorhead,5,Coal,1953.2,MN,American Crystal Sugar Moorhead,0,189901,161953.096,inf
american gypsum cogeneration,9.6,Gas,1990,CO,American Gypsum Cogeneration,20646000,367789,19627.63577,0.000950675
ames electric services power plant,108.8,Gas,1977.174632,IA,Ames Electric Services Power Plant,116459879,1509384,80103.73557,0.000687823
ames gt,78.7,Oil,1996.068615,IA,Ames GT,-142000,4457,326.0770781,-0.002296317
amherst college co gen,1.7,Gas,2006,MA,Amherst College Co Gen,6969000,28308,9272.899082,0.001330592
ampersand chowchilla biomass llc,12.5,Waste,2008,CA,Ampersand Chowchilla Biomass LLC,56224,1155,61.29640607,0.001090218
anadarko,7.8,Oil,1969.692308,OH,Anadarko,26000,232,16.97327398,0.000652818
anadarko plant,534.9,Gas,1982.234249,OK,Anadarko Plant,863951000,8208624,435635.6277,0.000504236
anaheim gt,49.2,Gas,1991,CA,Anaheim GT,22235000,210457,11169.05431,0.000502319
anchorage 1,77.9,Gas,1994.997433,AK,Anchorage 1,14736900,227495,12091.24989,0.000820474
anclote,1112.4,Gas,1976,FL,Anclote,2278498000,25640356,1360746.037,0.000597212
anderson,168.7,Gas,1998.110255,IN,Anderson,6297000,83100,4815.175083,0.000764678
anderson erickson,2,Oil,2000,IA,Anderson Erickson,39000,339,24.801465,0.000635935
anderson power products division,1,Oil,1987,MA,Anderson Power Products Division,70000,211,15.43690004,0.000220527
anderson regional landfill,3.2,Waste,2008,,,,,,
androscoggin energy center,163.5,Gas,1999.333333,ME,Androscoggin Energy Center,363567000,1725536,251535.2377,0.000691854
angoon,1.5,Oil,1999,AK,Angoon,1612000,16299,1192.445658,0.000739731
angus anson,405.7,Gas,1998.508997,SD,Angus Anson,109003000,1290657,69596.20802,0.00063848
anheuserbusch jacksonville,8.6,Gas,1987,FL,Anheuser-Busch Jacksonville,75396000,302648,50654.18243,0.000671842
anheuserbusch st louis,26.1,Gas,1946.164751,MO,Anheuser-Busch St Louis,32079008,124380,87396.36271,0.00272441
aniak,1.7,Oil,2001.058824,AK,Aniak,2600935,27918,2042.499409,0.000785294
animas,18.8,Gas,1993.287234,NM,Animas,1421000,26637,1413.638414,0.000994819
anita,2.9,Oil,1992.793103,IA,Anita,45000,497,36.36084986,0.000808019
ansley,1.5,Gas,1973.2,NE,Ansley,12000,154,11.24665203,0.000937221
anson county generation facility,343.8,Gas,2007,NC,Anson County Generation Facility,101891000,1136134,60456.48244,0.000593345
antelope station,167.4,Gas,2011,TX,Antelope Station,367178000,3166700,168058.2936,0.000457703
antelope valley,869.8,Coal,1985,ND,Antelope Valley,6097829000,69240826,6557576.288,0.001075395
anthony,11.1,Gas,1976.324324,KS,Anthony,49000,1555,84.45325615,0.001723536
apache station,660.7,Coal,1978.282428,AZ,Apache Station,2002818000,22416893,1458893.869,0.000728421
apex generating station,600.6,Gas,2003,NV,Apex Generating Station,2109062000,15067705,799650.3587,0.00037915
apple campus 2 fuel cell,4,Waste,2017,,,,,,
apple data center  fuel cell 12,10.5,Waste,2012.52381,,,,,,
arapahoe combustion turbine project,194,Gas,2000.534021,CO,Arapahoe Combustion Turbine Project,208361000,1876635,99593.92295,0.000477987
arcadia electric,16.9,Oil,1985.491124,WI,Arcadia Electric,257000,7146,481.5006881,0.001873544
arcanum,1.2,Oil,1948.916667,OH,Arcanum,0,23,1.682695265,inf
arcanum peaking,1.8,Oil,1999,OH,Arcanum Peaking,79000,783,57.28479968,0.000725124
arcelormittal burns harbor,176.2,Gas,1969.351873,IN,ArcelorMittal Burns Harbor,281464362,1848143,426495.8825,0.001515275
arcelormittal indiana harbor west,152,Gas,1972.947368,IN,ArcelorMittal Indiana Harbor West,52711781,272669,146216.394,0.002773885
arcelormittal warren,20.5,Gas,1959.609756,OH,ArcelorMittal Warren,12460541,86958,43385.91464,0.003481864
arcelormittal cleveland inc,68,Gas,1976.911765,OH,Arcelormittal Cleveland Inc,25841630,162804,50618.20064,0.001958785
archbald power station,92.9,Gas,1998.644779,PA,Archbald Power Station,46244063,514102,27283.64065,0.000589992
archer daniels midland cedar rapids,294.6,Coal,1996.513917,IA,Archer Daniels Midland Cedar Rapids,1051384000,5216817,2319527.838,0.002206166
archer daniels midland clinton,180,Coal,2009,IA,Archer Daniels Midland Clinton,713064124,4707055,1652099.203,0.002316901
archer daniels midland columbus,71.4,Coal,2010,NE,Archer Daniels Midland Columbus,292861000,4248397,1018752.916,0.003478623
archer daniels midland decatur,335,Coal,1995.620896,IL,Archer Daniels Midland Decatur,1188313000,6733007,3544864.737,0.002983107
archer daniels midland des moines,7.9,Coal,1988,IA,Archer Daniels Midland Des Moines,24755000,156408,122310.1052,0.004940824
archer daniels midland lincoln,7.9,Coal,1988,NE,Archer Daniels Midland Lincoln,26882000,169727,127188.6174,0.004731367
archer daniels midland mankato,6.1,Coal,1987,MN,Archer Daniels Midland Mankato,3850000,46327,37272.94173,0.009681284
archer daniels midland peoria,36,Gas,1988,IL,Archer Daniels Midland Peoria,83754000,336198,74620.75878,0.000890952
archer daniels midland southport,52.5,Gas,1992.971429,NC,Archer Daniels Midland Southport,0,0,706.0841955,inf
argonne national laboratory chp,6.3,Gas,2016,IL,Argonne National Laboratory CHP,31033000,353629,18767.26128,0.000604752
argus cogen plant,62.5,Coal,1974.4,CA,Argus Cogen Plant,249807000,1176132,1162275.414,0.004652694
argyle,2.3,Oil,2000.73913,WI,Argyle,41000,424,31.02012141,0.000756588
arizona state university chp,9.2,Gas,2006,AZ,Arizona State University CHP,39186000,188314,24899.60849,0.000635421
arkalon ethanol llc,3,Gas,2009,KS,Arkalon Ethanol LLC,13524710,59466,86399.00915,0.006388234
arlington valley energy facility,713,Gas,2002,AZ,Arlington Valley Energy Facility,2928495000,21495010,1140750.529,0.000389535
armstrong,688,Gas,2002,PA,Armstrong,826177000,8700878,463656.4785,0.000561207
arnold,1.1,Oil,1950.818182,,,,,,
arsenal hill,125,Gas,1960,LA,Arsenal Hill,61216000,758386,40247.91014,0.000657474
arthur kill generating station,895.5,Gas,1965.201005,NY,Arthur Kill Generating Station,903336000,10568762,560889.2876,0.000620909
arthur von rosenberg,575,Gas,2000,TX,Arthur Von Rosenberg,3372818000,23727563,1259233.192,0.000373348
arvada,22.5,Gas,2002,WY,Arvada,156000,3205,170.090893,0.001090326
arvah b hopkins,654.1,Gas,1990.918208,FL,Arvah B Hopkins,1579301000,12855813,682264.1853,0.000432004
asbury,212.8,Coal,1970,MO,Asbury,828931000,8988587,870911.8972,0.001050645
ascend performance materials texas inc,52.1,Gas,1999.193858,TX,Ascend Performance Materials Texas Inc.,264139000,1085835,231208.4516,0.000875329
ascutney,13.2,Oil,1961,VT,Ascutney,150000,4816,352.3417564,0.002348945
asheville,837.1,Gas,1983.690957,NC,Asheville,1403043897,16968438,1452512.529,0.001035258
ashland,5.6,Oil,1983.196429,KS,Ashland,54000,434,31.75172805,0.000587995
ashtabula,26.1,Gas,2001,OH,Ashtabula,192655000,783063,175541.3376,0.000911169
astoria energy,595,Gas,2006,NY,Astoria Energy,3203494000,23391552,1247303.402,0.000389357
astoria energy ii,650,Gas,2011,NY,Astoria Energy II,2785898000,20674618,1104702.093,0.000396534
astoria gas turbines,646.9,Gas,1970.147163,NY,Astoria Gas Turbines,17047000,254668,13604.21601,0.000798042
astoria generating station,1345,Gas,1959.866914,NY,Astoria Generating Station,664808000,8172827,437187.0303,0.000657614
atascosita,10.2,Waste,2003.166667,,,,,,
athens energy,8.5,Waste,2016,,,,,,
athens generating plant,1323,Gas,2003.773243,NY,Athens Generating Plant,2917147000,21438792,1137767.013,0.000390027
athens regional medical center,4.6,Oil,2003.217391,GA,Athens Regional Medical Center,0,486,35.55608256,inf
atlanta gift mart lp,1.2,Oil,1991,,,,,,
atlantic,10,Gas,1999,IA,Atlantic,121000,1538,86.12260129,0.000711757
attala,551.3,Gas,2001,MS,Attala,1658876000,11699165,620880.3191,0.000374278
auburn,18.7,Gas,1980.15508,NE,Auburn,160000,1608,98.15487045,0.000613468
auburn lfg energy facility,2.2,Waste,2010,,,,,,
auburn state street,7,Gas,2000,NY,Auburn State Street,29000,285,15.12508721,0.000521555
auburndale peaker energy center,130.1,Gas,2002,,,,,,
audrain generating station,814.4,Gas,2001,MO,Audrain Generating Station,18748000,226212,12005.17975,0.000640345
augusta electric plant no 1,11.5,Gas,1965.373913,KS,Augusta Electric Plant No 1,-147000,96,7.023423716,-4.78E-05
augusta electric plant no 2,20.7,Gas,1983.743961,KS,Augusta Electric Plant No 2,1315000,20628,1137.329078,0.000864889
auke bay,36.2,Oil,1993.809392,AK,Auke Bay,-132000,5068,370.7782436,-0.002808926
aurora,1275,Gas,2001.167059,IL,Aurora,650745000,6570759,348713.3436,0.000535868
aurora energy llc chena,27.5,Coal,1968.727273,AK,Aurora Energy LLC Chena,186691000,2358044,328538.6889,0.001759799
austin gas recovery,6.4,Waste,2007,,,,,,
avenue a generator sets,3.6,Oil,2000,IL,Avenue A Generator Sets,90000,899,65.77143667,0.000730794
avon lake,712.1,Coal,1969.909844,OH,Avon Lake,443676000,5047029,471573.5493,0.001062878
avon park,67.4,Oil,1969,FL,Avon Park,3010000,51483,2976.524213,0.000988878
axiall natrium plant,123,Gas,1960.658537,WV,Axiall Natrium Plant,641330557,2745403,417209.5035,0.000650537
axiall plaquemine,306,Gas,1997,LA,Axiall Plaquemine,1462476906,6704687,973222.3569,0.000665462
b braun medical,6.1,Gas,1989.032787,CA,B Braun Medical,32476000,162954,27519.91044,0.000847392
b l england,339.6,Oil,1969.713781,,,,,,
basf freeport works,92.7,Gas,1999,TX,BASF Freeport Works,576014000,2869550,368176.5181,0.00063918
bc landfill energy llc,7.5,Waste,2007,,,,,,
bj gas recovery,1.6,Waste,1993,,,,,,
bmw manufacturing co,11,Waste,2009,SC,BMW Manufacturing Co,4210949,69068,3665.472013,0.000870462
bp carson refinery,13.5,Gas,1983.777778,,,,,,
bp naperville cogeneration facility,9.5,Gas,1991,IL,BP Naperville Cogeneration Facility,70169960,359275,51721.2706,0.000737086
byui central energy facility,5.6,Gas,2015,ID,BYUI Central Energy Facility,39339000,174317,25123.7286,0.000638647
backus microgrid project,10.4,Oil,2014,CT,Backus Microgrid Project,991000,10056,735.7036342,0.000742385
baconton power plant,242,Gas,2000,GA,Baconton Power Plant,248843000,2414376,128132.0967,0.000514911
badger creek limited,46,Gas,1991,CA,Badger Creek Limited,14125000,107448,7166.10711,0.000507335
bailly,641,Coal,1966.217785,,,,,,
baldwin city plant no 1,4.2,Oil,1966.857143,KS,Baldwin City Plant No 1,31000,330,24.14301902,0.000778807
baldwin city plant no 2,6.4,Oil,2004,KS,Baldwin City Plant No 2,141000,1472,93.68963994,0.000664466
baldwin energy complex,1894.1,Coal,1972.679901,IL,Baldwin Energy Complex,6291993000,65697199,6127542.745,0.000973864
bancroft,4.2,Oil,1994.285714,IA,Bancroft,73000,660,48.28603804,0.000661453
bank of america plaza,3,Oil,1991,GA,Bank of America Plaza,0,39,2.853265884,inf
bannock county lfg to energy,1.6,Waste,2014,,,,,,
baptist medical center,9,Gas,1988.166667,FL,Baptist Medical Center,19058000,108375,14938.4914,0.000783844
barber creek,22.5,Gas,2002,WY,Barber Creek,133000,2592,137.5586879,0.001034276
barney m davis,1082.2,Gas,1987.262983,TX,Barney M Davis,1547751000,12656391,671680.7638,0.000433972
barre peaker,49.8,Gas,2007,CA,Barre Peaker,18884000,195473,10373.84622,0.000549346
barron,8.6,Oil,1976.616279,WI,Barron,0,12,0.877927964,inf
barrow,20.3,Gas,1991.024631,AK,Barrow,47567000,747391,39665.36453,0.000833884
barry,2569.5,Gas,1980.902355,AL,Barry,12470807000,100290242,6992895.274,0.000560741
basin creek plant,54.9,Gas,2006,MT,Basin Creek Plant,156356000,1447458,76817.29294,0.000491297
bassett medical center,5.6,Oil,1999.428571,NY,Bassett Medical Center,38000,390,28.53265884,0.000750859
bastrop energy center,618.7,Gas,2002,TX,Bastrop Energy Center,2311028000,18296166,970986.3383,0.000420153
batavia power plant,67.3,Gas,1992,NY,Batavia Power Plant,9325000,88912,4718.723188,0.000506029
batesville generation facility,891,Gas,2000,MS,Batesville Generation Facility,4134003000,30182089,1601777.994,0.000387464
battle creek mill,4,Gas,1976,MI,Battle Creek Mill,6101000,23391,56875.84725,0.009322381
bavarian lfgte,4.8,Waste,2007.333333,,,,,,
baxter wilson,1327.6,Gas,1969.359144,MS,Baxter Wilson,1537953000,16379452,869395.5879,0.000565294
bay county waste to energy,13.6,Waste,1987,FL,Bay County Waste to Energy,32232000,814629,34545.7628,0.001071785
bay front,67.2,Waste,1953.130952,WI,Bay Front,9914536,167319,13756.71008,0.001387529
bay view backup power facility,12,Gas,2007,OH,Bay View Backup Power Facility,655000,5649,310.9251107,0.000474695
bay view cogeneration facility,12,Waste,2010.541667,,,,,,
bayboro,226.8,Oil,1973,FL,Bayboro,3292000,47643,3485.593501,0.001058807
bayonne energy center,512,Gas,2012,NJ,Bayonne Energy Center,656742000,6810287,361464.2451,0.00055039
bayonne plant holding llc,191.6,Gas,1988,,,,,,
bayou cogen plant,312.2,Gas,2007.096092,TX,Bayou Cogen Plant,2108450506,29251111,1552370.544,0.000736261
bayou cove peaking power,416,Gas,2002,LA,Bayou Cove Peaking Power,84608000,1059860,56247.28047,0.000664799
bayswater peaking facility llc,60.5,Gas,2002,NY,Bayswater Peaking Facility LLC,118939000,1364658,72423.05707,0.000608909
baytown energy center,932.9,Gas,2002,TX,Baytown Energy Center,4721930000,31427096,2015704.77,0.000426882
bayview,12,Oil,1963,VA,Bayview,2586000,25654,1876.863667,0.000725779
bayville central facility,7.1,Oil,2000.366197,NJ,Bayville Central Facility,704008,3713,527.1081319,0.000748725
bear garden,559,Gas,2011,VA,Bear Garden,3558440000,25548597,1356559.128,0.000381223
bear mountain limited,46,Gas,1995,CA,Bear Mountain Limited,32865000,257684,16236.33002,0.000494031
bear valley power plant,8.4,Gas,2005,CA,Bear Valley Power Plant,385000,7580,402.2742494,0.001044868
beatrice,247.1,Gas,2005,NE,Beatrice,637374000,5271174,279743.742,0.0004389
beaver,610.7,Gas,1975.94973,OR,Beaver,500551000,5174177,275247.9306,0.00054989
beaver city,2,Gas,1960.9,,,,,,
beaver creek gas plant,5,Gas,1988,WY,Beaver Creek Gas Plant,30434880,211927,26969.14498,0.000886126
beaver dam,22,Gas,2016,PA,Beaver Dam,53225000,410253,21772.32423,0.000409062
beaver island,3.3,Oil,2000.272727,MI,Beaver Island,97000,2707,198.0459166,0.00204171
beecher gas recovery,3.3,Waste,2006.666667,,,,,,
belews creek,2491.2,Coal,1975,NC,Belews Creek,7123642000,66724077,6215484.213,0.000872515
belle haven diesel generation facility,4,Oil,2002,VA,Belle Haven Diesel Generation Facility,185000,1776,129.9333387,0.000702342
belle river,1664.4,Coal,1986.700973,MI,Belle River,5801672000,62238935,5629063.221,0.000970248
bellefontaine gas producers llc,4.8,Waste,2009,,,,,,
bellefonte,14,Oil,1999,,,,,,
belleville,14.3,Oil,1974.447552,KS,Belleville,-255000,1906,115.2958259,-0.00045214
bellevue,8.6,Oil,1976.976744,IA,Bellevue,33000,347,25.38675031,0.000769295
bellingham cogeneration facility,386.1,Gas,1991,MA,Bellingham Cogeneration Facility,52684000,470732,25097.91431,0.000476386
bellmeade power station,330,Gas,1997,,,,,,
beloit,19.3,Oil,1967.621762,KS,Beloit,121000,1326,74.63057704,0.000616782
beluga,312.4,Gas,1974.939821,AK,Beluga,55031000,1161053,61617.6417,0.00111969
ben french,110,Gas,1976.590909,SD,Ben French,7572000,143488,7673.319131,0.001013381
benndale,16.2,Gas,1969,,,,,,
bennett mountain,172.8,Gas,2005,ID,Bennett Mountain,317878000,3412966,181127.7488,0.000569803
benson city of,9,Oil,2002,MN,Benson City of,106000,1010,73.89227034,0.000697097
benson power biomass plant,62.5,Waste,2007,,,,,,
bergen generating station,1400.8,Gas,1989.768704,NJ,Bergen Generating Station,2915380000,22694291,1205883.48,0.000413628
berkeley county landfill,3.2,Waste,2011,,,,,,
berkshire power,289,Gas,1999,MA,Berkshire Power,367488000,2745892,145725.8104,0.000396546
berlin,9,Oil,1992.255556,MD,Berlin,51000,3630,265.5732092,0.005207318
berlin 5,41.8,Oil,1972,VT,Berlin 5,270000,4095,296.0711859,0.00109656
berlin landfill gas,2.4,Waste,2001,,,,,,
bernice lake,76.7,Gas,1977.550196,AK,Bernice Lake,6009000,303810,16123.34297,0.002683199
berry cogen,38.7,Gas,1987,CA,Berry Cogen,292321000,1479587,204747.9872,0.000700422
